prefecture,municipality,url,system_type,kaigiroku_tenant
岩手県,北上市議会,https://ssp.kaigiroku.net/tenant/kitakami/SpMinuteSearch.html,kaigiroku_ssp,kitakami
岩手県,久慈市議会,https://ssp.kaigiroku.net/tenant/kuji/MinuteSearch.html,kaigiroku_ssp,kuji
岩手県,一関市議会,http://www.kensakusystem.jp/ichinoseki/index.html,kensakusystem,
岩手県,陸前高田市議会,https://ssp.kaigiroku.net/tenant/rikuzentakata/SpMinuteSearch.html,kaigiroku_ssp,rikuzentakata
岩手県,釜石市議会,https://ssp.kaigiroku.net/tenant/kamaishi/MinuteSearch.html,kaigiroku_ssp,kamaishi
岩手県,釜石市議会,https://ssp.kaigiroku.net/tenant/kamaishi/SpMinuteSearch.html,kaigiroku_ssp,kamaishi
岩手県,二戸市議会,https://ssp.kaigiroku.net/tenant/ninohe/SpMinuteSearch.html,kaigiroku_ssp,ninohe
岩手県,奥州市議会,https://ssp.kaigiroku.net/tenant/oshu/SpMinuteSearch.html,kaigiroku_ssp,oshu
岩手県,奥州市議会,https://ssp.kaigiroku.net/tenant/esashi/SpMinuteSearch.html,kaigiroku_ssp,esashi
岩手県,奥州市議会,https://ssp.kaigiroku.net/tenant/isawa/SpMinuteSearch.html,kaigiroku_ssp,isawa
岩手県,滝沢市議会,https://ssp.kaigiroku.net/tenant/takizawa/SpMinuteSearch.html,kaigiroku_ssp,takizawa
岩手県,雫石町議会,https://ssp.kaigiroku.net/tenant/shizukuishi/SpMinuteSearch.html,kaigiroku_ssp,shizukuishi
岩手県,紫波町議会,https://ssp.kaigiroku.net/tenant/shiwa/SpMinuteSearch.html,kaigiroku_ssp,shiwa
岩手県,金ケ崎町議会,https://ssp.kaigiroku.net/tenant/kanegasaki/SpMinuteSearch.html,kaigiroku_ssp,kanegasaki
宮城県,宮城県議会,https://ssp.kaigiroku.net/tenant/prefmiyagi/SpMinuteSearch.html,kaigiroku_ssp,prefmiyagi
宮城県,仙台市議会,https://www.city.sendai.miyagi.dbsr.jp/index.php/,dbsr,
宮城県,石巻市議会,https://ssp.kaigiroku.net/tenant/ishinomaki/SpMinuteSearch.html,kaigiroku_ssp,ishinomaki
宮城県,気仙沼市議会,https://www.city.kesennuma.miyagi.dbsr.jp/index.php/,dbsr,
宮城県,白石市議会,http://www.city.shiroishi.miyagi.dbsr.jp/index.php/,dbsr,
宮城県,名取市議会,https://www.city.natori.miyagi.dbsr.jp/index.php/,dbsr,
宮城県,角田市議会,https://www.city.kakuda.miyagi.dbsr.jp/index.php/,dbsr,
宮城県,多賀城市議会,https://www.city.tagajo.miyagi.dbsr.jp/index.php/,dbsr,
宮城県,岩沼市議会,https://www.city.iwanuma.miyagi.dbsr.jp/index.php/,dbsr,
