tenant,keyword,meeting,date,hits_in_meeting,minute_url
kashima,オストメイト,令和　６年　　３月　定例会（第１回）,02月28日－一般質問－03号,2,https://ssp.kaigiroku.net/tenant/kashima/MinuteView.html?council_id=97&schedule_id=4&is_search=true
hitachiomiya,ストーマ,令和　４年　　３月　定例会（第１回）,03月07日－04号,1,https://ssp.kaigiroku.net/tenant/hitachiomiya/MinuteView.html?council_id=114&schedule_id=5&is_search=true
hitachiomiya,オストメイト,令和　７年　１２月　定例会（第４回）,12月10日－03号,2,https://ssp.kaigiroku.net/tenant/hitachiomiya/MinuteView.html?council_id=132&schedule_id=4&is_search=true
chikusei,ストーマ,平成３０年　　９月　定例会（第３回）,09月07日－一般質問－02号,1,https://ssp.kaigiroku.net/tenant/chikusei/MinuteView.html?council_id=68&schedule_id=3&is_search=true
chikusei,オストメイト,平成２７年　１２月　定例会（第４回）,12月04日－一般質問－02号,1,https://ssp.kaigiroku.net/tenant/chikusei/MinuteView.html?council_id=51&schedule_id=3&is_search=true
bando,オストメイト,令和　６年　　３月　定例会議（第３回～第５回）,03月14日－04号,1,https://ssp.kaigiroku.net/tenant/bando/MinuteView.html?council_id=120&schedule_id=3&is_search=true
kasumigaura,ストーマ,令和　７年　　３月　定例会（第１回）,03月13日－04号,1,https://ssp.kaigiroku.net/tenant/kasumigaura/MinuteView.html?council_id=89&schedule_id=4&is_search=true
moka,ストーマ,平成１５年　　３月　定例会（第１回）,03月05日－02号,1,https://ssp.kaigiroku.net/tenant/moka/MinuteView.html?council_id=21&schedule_id=3&is_search=true
moka,オストメイト,令和　８年　　２月　定例会（第２回）,02月25日－03号,1,https://ssp.kaigiroku.net/tenant/moka/MinuteView.html?council_id=393&schedule_id=4&is_search=true
ohtawara,オストメイト,令和　７年　　３月定例会（第２回）,02月27日－02号,1,https://ssp.kaigiroku.net/tenant/ohtawara/MinuteView.html?council_id=579&schedule_id=3&is_search=true
haga,オストメイト,平成１９年　　８月　臨時会（第６回）,08月10日－01号,2,https://ssp.kaigiroku.net/tenant/haga/MinuteView.html?council_id=65&schedule_id=2&is_search=true
mibu,ストーマ,令和　３年　　９月　定例会（第４回）,09月01日－01号,1,https://ssp.kaigiroku.net/tenant/mibu/MinuteView.html?council_id=105&schedule_id=2&is_search=true
mibu,オストメイト,令和　１年　１２月　定例会（第５回）,12月10日－02号,1,https://ssp.kaigiroku.net/tenant/mibu/MinuteView.html?council_id=94&schedule_id=3&is_search=true
nogi,オストメイト,平成３０年　　９月　定例会（第３回）,09月19日－04号,1,https://ssp.kaigiroku.net/tenant/nogi/MinuteView.html?council_id=43&schedule_id=5&is_search=true
annaka,ストーマ,平成２３年　１２月　定例会（第４回）,12月07日－02号,1,https://ssp.kaigiroku.net/tenant/annaka/MinuteView.html?council_id=35&schedule_id=3&is_search=true
annaka,オストメイト,令和　６年　　３月　定例会（第１回）,03月14日－03号,1,https://ssp.kaigiroku.net/tenant/annaka/MinuteView.html?council_id=436&schedule_id=4&is_search=true
midori,ストーマ,平成１８年　１２月　定例会（第３回）,12月05日－01号,1,https://ssp.kaigiroku.net/tenant/midori/MinuteView.html?council_id=3&schedule_id=2&is_search=true
midori,ストーマ,平成１８年　　６月　定例会（第１回）,06月26日－07号,1,
midori,ストーマ,平成１８年　　予算特別委員会,06月16日－02号,2,
midori,オストメイト,令和　７年　１２月　定例会（第４回）,12月10日－03号,3,https://ssp.kaigiroku.net/tenant/midori/MinuteView.html?council_id=150&schedule_id=4&is_search=true
midori,蓄便袋,平成１９年　　決算特別委員会,09月12日－01号,1,https://ssp.kaigiroku.net/tenant/midori/MinuteView.html?council_id=16&schedule_id=2&is_search=true
oizumi,オストメイト,令和　４年　１２月　定例会（第５回）,12月07日－02号,1,
prefsaitama,ストーマ,平成１３年　　６月　定例会,06月29日－06号,1,https://ssp.kaigiroku.net/tenant/prefsaitama/MinuteView.html?council_id=55&schedule_id=7&is_search=true
prefsaitama,オストメイト,令和　７年　１２月　定例会,12月11日－06号,2,https://ssp.kaigiroku.net/tenant/prefsaitama/MinuteView.html?council_id=477&schedule_id=7&is_search=true
saitama,ストーマ,令和　６年　　９月　決算特別委員会,10月03日－07号,3,https://ssp.kaigiroku.net/tenant/saitama/MinuteView.html?council_id=1014&schedule_id=7&is_search=true
saitama,ストーマ,令和　６年　　９月　決算特別委員会,10月01日－06号,1,
saitama,ストーマ,令和　６年　　６月　保健福祉委員会,06月17日－03号,2,
saitama,ストーマ,令和　６年　　２月　定例会,02月13日－03号,1,
saitama,蓄尿袋,平成２７年　　２月　予算委員会,02月24日－10号,4,https://ssp.kaigiroku.net/tenant/saitama/MinuteView.html?council_id=557&schedule_id=10&is_search=true
kumagaya,ストーマ,令和　６年　１０月　決算審査　市民福祉常任委員会,10月17日－01号,1,https://ssp.kaigiroku.net/tenant/kumagaya/MinuteView.html?council_id=335&schedule_id=1&is_search=true
kumagaya,オストメイト,令和　８年　　３月　定例会（第１回）,03月17日－委員長報告・質疑・討論・採決－06号,1,https://ssp.kaigiroku.net/tenant/kumagaya/MinuteView.html?council_id=373&schedule_id=7&is_search=true
kumagaya,オストメイト,令和　８年　　３月　定例会　環境産業常任委員会,03月03日－01号,1,
kumagaya,蓄便袋,平成１３年　１２月　定例会（第４回）,12月10日－一般質問－03号,1,https://ssp.kaigiroku.net/tenant/kumagaya/MinuteView.html?council_id=66&schedule_id=4&is_search=true
kawaguchi,ストーマ,令和６年９月定例会　埼玉県川口市議会,09月18日－05号,2,https://ssp.kaigiroku.net/tenant/kawaguchi/MinuteView.html?council_id=1352&schedule_id=6&is_search=true
kawaguchi,オストメイト,令和６年９月定例会　埼玉県川口市議会,09月18日－05号,2,https://ssp.kaigiroku.net/tenant/kawaguchi/MinuteView.html?council_id=1352&schedule_id=6&is_search=true
kawaguchi,蓄便袋,平成３１年３月定例会　埼玉県川口市議会,02月21日－02号,1,https://ssp.kaigiroku.net/tenant/kawaguchi/MinuteView.html?council_id=1141&schedule_id=3&is_search=true
kawaguchi,蓄尿袋,平成３１年３月定例会　埼玉県川口市議会,02月21日－02号,1,https://ssp.kaigiroku.net/tenant/kawaguchi/MinuteView.html?council_id=1141&schedule_id=3&is_search=true
gyoda,ストーマ,平成１６年　　３月　定例会,03月08日－04号,1,https://ssp.kaigiroku.net/tenant/gyoda/MinuteView.html?council_id=31&schedule_id=5&is_search=true
gyoda,オストメイト,令和　８年　　３月　定例会,02月27日－05号,1,https://ssp.kaigiroku.net/tenant/gyoda/MinuteView.html?council_id=258&schedule_id=6&is_search=true
chichibu,ストーマ,令和　５年　１２月定例会,12月06日－一般質問－03号,5,https://ssp.kaigiroku.net/tenant/chichibu/MinuteView.html?council_id=379&schedule_id=4&is_search=true
chichibu,ストーマ,令和　５年　一般質問通告一覧表,一般質問通告一覧表,1,
chichibu,オストメイト,令和　５年　１２月定例会,12月06日－一般質問－03号,1,https://ssp.kaigiroku.net/tenant/chichibu/MinuteView.html?council_id=379&schedule_id=4&is_search=true
chichibu,蓄便袋,令和　５年　１２月定例会,12月06日－一般質問－03号,1,https://ssp.kaigiroku.net/tenant/chichibu/MinuteView.html?council_id=379&schedule_id=4&is_search=true
chichibu,蓄尿袋,令和　５年　１２月定例会,12月06日－一般質問－03号,1,https://ssp.kaigiroku.net/tenant/chichibu/MinuteView.html?council_id=379&schedule_id=4&is_search=true
hanno,ストーマ,令和８年第１回定例会,03月25日－06号,1,https://ssp.kaigiroku.net/tenant/hanno/MinuteView.html?council_id=139&schedule_id=7&is_search=true
hanno,オストメイト,令和５年第３回定例会,09月06日－02号,1,https://ssp.kaigiroku.net/tenant/hanno/MinuteView.html?council_id=128&schedule_id=3&is_search=true
hanno,蓄便袋,平成２８年第３回定例会,09月20日－05号,1,https://ssp.kaigiroku.net/tenant/hanno/MinuteView.html?council_id=96&schedule_id=6&is_search=true
hanno,蓄尿袋,平成２８年第３回定例会,09月20日－05号,1,https://ssp.kaigiroku.net/tenant/hanno/MinuteView.html?council_id=96&schedule_id=6&is_search=true
kazo,ストーマ,令和　８年　第１回　定例会（　３月）,02月19日－04号,1,https://ssp.kaigiroku.net/tenant/kazo/MinuteView.html?council_id=348&schedule_id=5&is_search=true
kazo,オストメイト,令和　６年　第２回　定例会（　６月）,06月19日－03号,1,https://ssp.kaigiroku.net/tenant/kazo/MinuteView.html?council_id=311&schedule_id=4&is_search=true
kazo,蓄便袋,令和　４年　第４回　定例会（１２月）,12月06日－06号,1,https://ssp.kaigiroku.net/tenant/kazo/MinuteView.html?council_id=285&schedule_id=7&is_search=true
kazo,蓄尿袋,平成１８年　第３回　定例会（　９月）,09月21日－05号,1,https://ssp.kaigiroku.net/tenant/kazo/MinuteView.html?council_id=26&schedule_id=6&is_search=true
